frame_path,angle
data\processed\resized_images\image_1117_angle_90_resized.jpg,90
data\processed\resized_images\image_970_angle_90_resized.jpg,90
data\processed\resized_images\image_730_angle_90_resized.jpg,90
data\processed\resized_images\image_526_angle_90_resized.jpg,90
data\processed\resized_images\image_1125_angle_90_resized.jpg,90
data\processed\resized_images\image_1040_angle_90_resized.jpg,90
data\processed\resized_images\image_323_angle_90_resized.jpg,90
data\processed\resized_images\image_026_angle_90_resized.jpg,90
data\processed\resized_images\image_1117_angle_90_resized.jpg,90
data\processed\resized_images\image_1164_angle_90_resized.jpg,90
data\processed\resized_images\image_374_angle_90_resized.jpg,90
data\processed\resized_images\image_677_angle_90_resized.jpg,90
data\processed\resized_images\image_1077_angle_90_resized.jpg,90
data\processed\resized_images\image_795_angle_90_resized.jpg,90
data\processed\resized_images\image_1109_angle_90_resized.jpg,90
data\processed\resized_images\image_760_angle_90_resized.jpg,90
data\processed\resized_images\image_246_angle_90_resized.jpg,90
data\processed\resized_images\image_193_angle_90_resized.jpg,90
data\processed\resized_images\image_240_angle_90_resized.jpg,90
data\processed\resized_images\image_619_angle_90_resized.jpg,90
data\processed\resized_images\image_488_angle_90_resized.jpg,90
data\processed\resized_images\image_718_angle_90_resized.jpg,90
data\processed\resized_images\image_912_angle_90_resized.jpg,90
data\processed\resized_images\image_585_angle_90_resized.jpg,90
data\processed\resized_images\image_827_angle_90_resized.jpg,90
data\processed\resized_images\image_331_angle_90_resized.jpg,90
data\processed\resized_images\image_550_angle_90_resized.jpg,90
data\processed\resized_images\image_266_angle_90_resized.jpg,90
data\processed\resized_images\image_635_angle_90_resized.jpg,90
data\processed\resized_images\image_027_angle_90_resized.jpg,90
data\processed\resized_images\image_477_angle_90_resized.jpg,90
data\processed\resized_images\image_431_angle_90_resized.jpg,90
data\processed\resized_images\image_721_angle_90_resized.jpg,90
data\processed\resized_images\image_096_angle_90_resized.jpg,90
data\processed\resized_images\image_1019_angle_90_resized.jpg,90
data\processed\resized_images\image_285_angle_90_resized.jpg,90
data\processed\resized_images\image_321_angle_90_resized.jpg,90
data\processed\resized_images\image_526_angle_90_resized.jpg,90
data\processed\resized_images\image_327_angle_90_resized.jpg,90
data\processed\resized_images\image_293_angle_90_resized.jpg,90
data\processed\resized_images\image_1002_angle_90_resized.jpg,90
data\processed\resized_images\image_780_angle_90_resized.jpg,90
data\processed\resized_images\image_1011_angle_90_resized.jpg,90
data\processed\resized_images\image_452_angle_90_resized.jpg,90
data\processed\resized_images\image_652_angle_90_resized.jpg,90
data\processed\resized_images\image_193_angle_90_resized.jpg,90
data\processed\resized_images\image_613_angle_90_resized.jpg,90
data\processed\resized_images\image_203_angle_90_resized.jpg,90
data\processed\resized_images\image_026_angle_90_resized.jpg,90
data\processed\resized_images\image_674_angle_90_resized.jpg,90
data\processed\resized_images\image_280_angle_90_resized.jpg,90
data\processed\resized_images\image_538_angle_90_resized.jpg,90
data\processed\resized_images\image_833_angle_90_resized.jpg,90
data\processed\resized_images\image_1081_angle_90_resized.jpg,90
data\processed\resized_images\image_640_angle_90_resized.jpg,90
data\processed\resized_images\image_019_angle_90_resized.jpg,90
data\processed\resized_images\image_446_angle_90_resized.jpg,90
data\processed\resized_images\image_510_angle_90_resized.jpg,90
data\processed\resized_images\image_722_angle_90_resized.jpg,90
data\processed\resized_images\image_1008_angle_90_resized.jpg,90
data\processed\resized_images\image_827_angle_90_resized.jpg,90
data\processed\resized_images\image_700_angle_90_resized.jpg,90
data\processed\resized_images\image_1089_angle_90_resized.jpg,90
data\processed\resized_images\image_786_angle_90_resized.jpg,90
data\processed\resized_images\image_951_angle_90_resized.jpg,90
data\processed\resized_images\image_508_angle_90_resized.jpg,90
data\processed\resized_images\image_960_angle_90_resized.jpg,90
data\processed\resized_images\image_062_angle_90_resized.jpg,90
data\processed\resized_images\image_359_angle_90_resized.jpg,90
data\processed\resized_images\image_1061_angle_90_resized.jpg,90
data\processed\resized_images\image_930_angle_90_resized.jpg,90
data\processed\resized_images\image_098_angle_90_resized.jpg,90
data\processed\resized_images\image_760_angle_90_resized.jpg,90
data\processed\resized_images\image_833_angle_90_resized.jpg,90
data\processed\resized_images\image_002_angle_90_resized.jpg,90
data\processed\resized_images\image_837_angle_90_resized.jpg,90
data\processed\resized_images\image_100_angle_90_resized.jpg,90
data\processed\resized_images\image_1123_angle_90_resized.jpg,90
data\processed\resized_images\image_495_angle_90_resized.jpg,90
data\processed\resized_images\image_620_angle_90_resized.jpg,90
data\processed\resized_images\image_329_angle_90_resized.jpg,90
data\processed\resized_images\image_874_angle_90_resized.jpg,90
data\processed\resized_images\image_383_angle_90_resized.jpg,90
data\processed\resized_images\image_084_angle_90_resized.jpg,90
data\processed\resized_images\image_268_angle_90_resized.jpg,90
data\processed\resized_images\image_351_angle_90_resized.jpg,90
